Date,Curah Hujan Johor_MY,Curah Hujan Kalbar_ID,Curah Hujan Kalteng_ID,Curah Hujan Pahang_MY,Curah Hujan Riau_ID,Curah Hujan Sabah_MY,Curah Hujan Sarawak_MY,Curah Hujan Sumut_ID
2016-06-14,10.63,11.93,6.74,3.35,7.89,7.9,0.49,22.06
2016-06-15,6.91,6.82,2.33,12.74,5.31,3.26,2.64,19.39
2016-06-16,5.51,10.12,0.39,20.04,33.47,1.64,3.95,70.92
2016-06-17,32.0,16.26,6.53,25.4,52.35,3.12,11.89,32.78
2016-06-20,1.02,2.76,1.72,4.24,0.64,13.98,0.52,2.12
2016-06-21,1.57,0.13,0.04,1.08,3.34,3.83,2.16,5.76
2016-06-23,7.2,3.75,0.16,0.94,3.95,5.2,3.11,1.48
2016-06-24,13.76,10.15,0.07,0.22,6.08,2.65,7.72,3.67
2016-06-27,1.54,15.66,11.24,0.19,0.01,17.07,7.78,0.0
2016-06-28,0.11,0.94,10.23,0.0,0.0,2.44,0.73,0.0
2016-06-29,0.21,0.0,0.12,0.0,0.0,1.47,0.0,0.0
2016-06-30,2.74,0.0,0.04,0.22,0.12,1.84,0.58,0.0
2016-07-01,1.33,0.0,0.93,0.13,0.01,3.97,0.16,0.0
2016-07-05,1.03,0.19,0.29,2.47,0.65,3.33,0.01,3.85
2016-07-08,6.05,0.5,6.61,10.64,2.86,0.62,0.28,2.85
2016-07-11,6.84,0.03,0.07,1.29,0.32,1.29,3.44,6.32
2016-07-12,2.64,42.31,7.34,0.82,0.73,0.59,2.66,6.52
2016-07-13,6.18,10.66,6.06,2.22,3.17,0.29,1.77,24.95
2016-07-14,11.14,1.84,0.47,3.67,71.05,2.36,1.76,15.35
2016-07-15,2.11,2.95,0.86,3.05,15.45,1.76,10.92,0.33
2016-07-18,17.16,4.14,12.69,11.97,13.2,15.45,0.63,111.82
2016-07-19,5.29,40.21,11.54,2.72,5.92,13.19,3.34,53.31
2016-07-20,14.46,4.77,15.87,3.98,36.55,11.03,22.61,144.11
2016-07-21,3.88,38.19,5.59,0.85,6.4,11.02,19.83,16.05
2016-07-22,9.73,3.19,2.01,21.05,17.36,1.45,16.46,4.66
2016-07-25,4.31,17.48,23.08,1.68,14.21,26.43,3.55,1.36
2016-07-26,1.63,11.92,12.92,5.05,2.35,20.11,20.07,0.76
2016-07-27,1.33,11.28,6.28,0.23,0.23,21.64,4.34,1.81
2016-07-28,1.95,3.59,0.22,2.88,3.23,4.52,2.41,4.21
2016-07-29,2.54,15.88,2.64,4.57,1.01,4.71,22.55,3.5
2016-08-01,7.88,1.37,0.5,4.93,2.72,8.68,8.91,3.27
2016-08-02,3.27,0.2,0.09,1.61,3.36,6.26,31.64,0.31
2016-08-03,3.37,0.92,0.0,0.66,7.4,13.16,18.79,0.5
2016-08-04,1.21,12.87,20.83,0.29,0.91,27.55,32.43,1.35
2016-08-05,1.12,1.61,22.3,0.53,0.01,14.12,12.17,0.6
2016-08-08,0.8,0.13,0.78,0.08,0.06,4.8,0.29,1.88
2016-08-09,0.34,0.04,0.77,1.9,0.02,0.16,0.7,2.36
2016-08-10,1.11,0.15,0.0,3.45,0.16,4.42,9.86,1.63
2016-08-11,6.83,0.05,0.0,4.36,5.04,5.38,4.28,10.24
2016-08-12,4.52,0.21,0.02,1.31,2.23,2.27,0.39,35.15
2016-08-15,1.62,0.24,27.41,0.01,0.01,6.28,2.29,0.63
2016-08-16,1.99,0.03,2.28,0.0,0.0,9.25,9.05,4.69
2016-08-17,10.77,0.01,2.02,2.86,0.6,3.24,4.83,12.62
2016-08-18,17.25,0.0,0.55,2.66,17.33,2.38,1.23,1.77
2016-08-19,8.62,0.18,0.04,1.1,3.9,3.34,3.51,3.27
2016-08-22,3.82,5.49,0.15,1.64,0.98,5.24,2.02,6.37
2016-08-23,6.59,0.64,0.04,20.75,3.08,4.62,0.01,44.93
2016-08-24,5.64,1.53,0.55,6.27,11.31,3.3,4.92,31.34
2016-08-25,0.78,3.25,10.15,9.52,1.12,11.39,25.24,27.23
